rank,name,country,total_points,round 1-2021,round 2-2021,round 3-2021,round 4-2021,round 5-2021,round 6-2021,round 7-2021
1,Gabriel Medina,Brazil,43400,7800,7800,10000,3320,10000,7800,4745
2,Filipe Toledo,Brazil,30735,1330,6085,3320,10000,1330,10000,1330
3,Italo Ferreira,Brazil,31660,6085,10000,3320,4745,6085,3320,4745
4,Conner Coffin,United States,25355,265,4745,7800,1330,4745,3320,4745
5,Morgan Cibilic,Australia,25270,1330,6085,4745,1330,7800,3320,3320
6,Griffin Colapinto,United States,22905,1330,3320,6085,6085,1330,6085,1330
7,Jordy Smith,South Africa,22505,4745,3320,3320,7800,3320,265,265
8,Kanoa Igarashi,Japan,22215,4745,3320,4745,3320,1330,6085,1330
9,Yago Dora,Brazil,20875,1330,3320,4745,1330,4745,4745,3320
10,Frederico Morais,Portugal,20790,1330,3320,6085,3320,1330,3320,4745
11,John John Florence,Hawaii,19660,10000,1330,3320,4745,265,265,265
12,Jack Robinson,Australia,19300,3320,1330,3320,1330,1330,265,10000
13,Leonardo Fioravanti,Italy,18800,4745,1330,265,1330,3320,3320,6085
14,Deivid Silva,Brazil,16535,1330,4745,1330,1330,1330,1330,7800
15,Ryan Callinan,Australia,15470,3320,4745,1330,4745,1330,1330,1330
15,Adriano de Souza,Brazil,15470,265,4745,1330,1330,3320,4745,1330
15,Ethan Ewing,Australia,15470,1330,1330,4745,1330,1330,4745,3320
18,Kelly Slater,United States,14680,6085,265,265,265,265,4745,3320
19,Jadson Andre,Brazil,14610,3320,265,3320,3320,265,1330,3320
20,Jeremy Flores,France,14045,4745,1330,1330,3320,265,265,3320
20,Julian Wilson,Australia,14045,1330,3320,1330,3320,4745,265,-
20,Seth Moniz,Hawaii,14045,1330,1330,1330,4745,3320,3320,1330
20,Miguel Pupo,Brazil,14045,3320,1330,1330,1330,4745,3320,1330
24,Matthew McGillivray,South Africa,13395,3320,265,265,6085,1330,1330,1330
25,Owen Wright,Australia,12620,265,3320,1330,1330,3320,3320,1330
25,Caio Ibelli,Brazil,12620,3320,1330,3320,3320,1330,1330,1330
27,Peterson Crisanto,Brazil,10630,3320,1330,1330,3320,265,1330,1330
28,Michel Bourez,France,8640,1330,1330,1330,1330,3320,265,1330
28,Jack Freestone,Australia,8640,3320,1330,1330,265,1330,1330,265
28,Wade Carmichael,Australia,8640,1330,3320,1330,1330,1330,1330,1330
28,Connor O'Leary,Australia,8640,1330,1330,265,1330,3320,1330,265
32,Mikey Wright,Australia,7575,1330,265,1330,265,3320,265,1330
33,Alex Ribeiro,Brazil,6650,265,1330,1330,1330,1330,1330,265
34,Liam O'Brien,Australia,6350,-,-,-,-,6085,265,-
35,Mateus Herdy,Brazil,6085,-,-,-,-,-,-,6085
36,Adrian Buchan,Australia,5585,265,1330,265,1330,265,1330,1330
37,Kolohe Andino,United States,5445,1330,265,265,265,265,265,3320
38,Reef Heazlewood,Australia,3585,-,-,3320,265,-,-,-
39,Rio Waida,Indonesia,3320,-,-,-,-,-,-,3320
40,Jacob Willcox,Australia,2660,-,-,-,1330,1330,-,-
41,Sebastian Zietz,Hawaii,1330,1330,-,-,-,-,-,-
41,Nat Young,United States,1330,-,-,-,-,-,1330,-
41,Stuart Kennedy,Australia,1330,-,-,-,-,1330,-,-
41,Patrick Gudauskas,United States,1330,-,-,-,-,-,1330,-
41,Mick Fanning,Australia,1330,-,-,1330,-,-,-,-
41,Michael Dunphy,United States,1330,-,-,-,-,-,1330,-
41,Lucca Mesinas,Peru,1330,-,-,-,-,-,-,1330
41,Eli Hanneman,Hawaii,1330,-,-,-,-,-,1330,-
41,Lucas Vicente,Brazil,1330,-,-,-,-,-,1330,-
41,Dylan Moffat,Australia,1330,-,-,1330,-,-,-,-
